stateabb,ccode,statenme,state_dept_name,styear,stmonth,stday,endyear,endmonth,endday,version
GUI,438,Guinea,Guinea,1958,10,2,2016,12,31,2016
BFO,439,Burkina Faso,Burkina Faso (Upper Volta),1960,8,5,2016,12,31,2016
LBR,450,Liberia,Liberia,1920,6,30,2016,12,31,2016
SIE,451,Sierra Leone,Sierra Leone,1961,4,27,2016,12,31,2016
GHA,452,Ghana,Ghana,1957,3,6,2016,12,31,2016
TOG,461,Togo,Togo,1960,4,27,2016,12,31,2016
CAO,471,Cameroon,Cameroon,1960,1,1,2016,12,31,2016
NIG,475,Nigeria,Nigeria,1960,10,1,2016,12,31,2016
GAB,481,Gabon,Gabon,1960,8,17,2016,12,31,2016
CEN,482,Central African Republic,Central African Republic,1960,8,13,2016,12,31,2016
CHA,483,Chad,Chad,1960,8,11,2016,12,31,2016
CON,484,Congo,Republic of the Congo,1960,8,15,2016,12,31,2016
DRC,490,Democratic Republic of the Congo,Democratic Republic of the Congo,1960,6,30,2016,12,31,2016
UGA,500,Uganda,Uganda,1962,10,9,2016,12,31,2016
KEN,501,Kenya,Kenya,1963,12,12,2016,12,31,2016
TAZ,510,Tanzania,Tanzania,1961,12,9,2016,12,31,2016
ZAN,511,Zanzibar,Zanzibar,1963,12,19,1964,4,26,2016
BUI,516,Burundi,Burundi,1962,7,1,2016,12,31,2016
RWA,517,Rwanda,Rwanda,1962,7,1,2016,12,31,2016
SOM,520,Somalia,Somalia,1960,7,1,2016,12,31,2016
DJI,522,Djibouti,Djibouti,1977,6,27,2016,12,31,2016
ETH,530,Ethiopia,Ethiopia,1898,1,1,1936,5,5,2016
ETH,530,Ethiopia,Ethiopia,1941,5,5,2016,12,31,2016
ERI,531,Eritrea,Eritrea,1993,5,24,2016,12,31,2016
ANG,540,Angola,Angola,1975,11,11,2016,12,31,2016
MZM,541,Mozambique,Mozambique,1975,6,25,2016,12,31,2016
ZAM,551,Zambia,Zambia,1964,10,24,2016,12,31,2016
ZIM,552,Zimbabwe,Zimbabwe,1965,11,11,2016,12,31,2016
MAW,553,Malawi,Malawi,1964,7,6,2016,12,31,2016
SAF,560,South Africa,South Africa,1920,1,10,2016,12,31,2016
NAM,565,Namibia,Namibia,1990,3,21,2016,12,31,2016
LES,570,Lesotho,Lesotho,1966,10,4,2016,12,31,2016
BOT,571,Botswana,Botswana,1966,9,30,2016,12,31,2016
SWA,572,Swaziland,Eswatini,1968,9,6,2016,12,31,2016
MAG,580,Madagascar,Madagascar,1960,6,26,2016,12,31,2016
COM,581,Comoros,Comoros,1975,12,31,2016,12,31,2016
MAS,590,Mauritius,Mauritius,1968,3,12,2016,12,31,2016
SEY,591,Seychelles,Seychelles,1976,6,29,2016,12,31,2016
MOR,600,Morocco,Morocco,1847,1,1,1912,3,30,2016
MOR,600,Morocco,Morocco,1956,3,2,2016,12,31,2016
ALG,615,Algeria,Algeria,1962,7,5,2016,12,31,2016
TUN,616,Tunisia,Tunisia,1825,1,1,1881,5,12,2016
TUN,616,Tunisia,Tunisia,1956,3,20,2016,12,31,2016
LIB,620,Libya,Libya,1951,12,24,2016,12,31,2016
SUD,625,Sudan,Sudan,1956,1,1,2016,12,31,2016
SSD,626,South Sudan,South Sudan,2011,7,9,2016,12,31,2016
IRN,630,Iran,Iran,1855,1,1,2016,12,31,2016
TUR,640,Turkey,Turkey,1816,1,1,2016,12,31,2016
IRQ,645,Iraq,Iraq,1932,10,3,2016,12,31,2016
EGY,651,Egypt,Egypt,1855,1,1,1882,9,15,2016
EGY,651,Egypt,Egypt,1937,5,26,2016,12,31,2016
SYR,652,Syria,Syria,1946,4,17,1958,2,1,2016
SYR,652,Syria,Syria,1961,9,29,2016,12,31,2016
LEB,660,Lebanon,Lebanon,1946,3,10,2016,12,31,2016
JOR,663,Jordan,Jordan,1946,3,22,2016,12,31,2016
ISR,666,Israel,Israel,1948,5,14,2016,12,31,2016
SAU,670,Saudi Arabia,Saudi Arabia,1927,5,20,2016,12,31,2016
YAR,678,Yemen Arab Republic,North Yemen,1926,9,2,1990,5,21,2016
YEM,679,Yemen,North Yemen,1990,5,22,2016,12,31,2016
YPR,680,Yemen People's Republic,South Yemen,1967,11,30,1990,5,21,2016
KUW,690,Kuwait,Kuwait,1961,6,19,2016,12,31,2016
BAH,692,Bahrain,Bahrain,1971,8,15,2016,12,31,2016
QAT,694,Qatar,Qatar,1971,9,3,2016,12,31,2016
UAE,696,United Arab Emirates,"United Arab Emirates, The",1971,12,2,2016,12,31,2016
OMA,698,Oman,Oman,1971,10,7,2016,12,31,2016
AFG,700,Afghanistan,Afghanistan,1919,8,8,2016,12,31,2016
TKM,701,Turkmenistan,Turkmenistan,1991,12,26,2016,12,31,2016
TAJ,702,Tajikistan,Tajikistan,1991,12,26,2016,12,31,2016
KYR,703,Kyrgyzstan,Kyrgyzstan,1991,12,26,2016,12,31,2016
UZB,704,Uzbekistan,Uzbekistan,1991,12,26,2016,12,31,2016
KZK,705,Kazakhstan,Kazakhstan,1991,12,26,2016,12,31,2016
CHN,710,China,China,1860,10,25,2016,12,31,2016
MON,712,Mongolia,Mongolia,1921,3,13,2016,12,31,2016
TAW,713,Taiwan,Taiwan,1949,12,8,2016,12,31,2016
KOR,730,Korea,Korea,1887,1,1,1905,11,17,2016
PRK,731,North Korea,,1948,9,9,2016,12,31,2016
ROK,732,South Korea,Republic of Korea (South Korea),1949,6,29,2016,12,31,2016
JPN,740,Japan,Japan,1860,1,1,1945,8,14,2016
JPN,740,Japan,Japan,1952,4,28,2016,12,31,2016
IND,750,India,India,1947,8,15,2016,12,31,2016
BHU,760,Bhutan,,1971,9,21,2016,12,31,2016
PAK,770,Pakistan,Pakistan,1947,8,14,2016,12,31,2016
BNG,771,Bangladesh,Bangladesh,1971,12,16,2016,12,31,2016
MYA,775,Myanmar,Burma,1948,1,4,2016,12,31,2016
SRI,780,Sri Lanka,Sri Lanka,1948,2,4,2016,12,31,2016
MAD,781,Maldives,Maldives,1965,7,26,2016,12,31,2016
NEP,790,Nepal,Nepal,1920,1,1,2016,12,31,2016
THI,800,Thailand,Thailand,1887,1,1,2016,12,31,2016
CAM,811,Cambodia,Cambodia,1953,11,9,2016,12,31,2016
LAO,812,Laos,Laos,1953,10,23,2016,12,31,2016
DRV,816,Vietnam,,1954,7,21,1975,4,30,2016
DRV,816,Vietnam,Vietnam,1975,5,1,2016,12,31,2016
RVN,817,Republic of Vietnam,Vietnam,1954,6,4,1975,4,30,2016
MAL,820,Malaysia,Malaysia,1957,8,31,2016,12,31,2016
SIN,830,Singapore,Singapore,1965,8,9,2016,12,31,2016
BRU,835,Brunei,Brunei,1984,1,1,2016,12,31,2016
PHI,840,Philippines,Philippines,1946,7,4,2016,12,31,2016
INS,850,Indonesia,Indonesia,1949,12,27,2016,12,31,2016
ETM,860,East Timor,Timor-Leste,2002,9,27,2016,12,31,2016
