statenumber,stateid,countryname,state_dept_name,start,end
329,SIC,Two Sicilies,Two Sicilies,1816-01-01,1861-03-16
500,UGA,Uganda,Uganda,1962-10-09,2020-12-31
369,UKR,Ukraine,Ukraine,1991-12-01,2020-12-31
696,UAE,United Arab Emirates,"United Arab Emirates, The",1971-12-02,2020-12-31
200,UKG,United Kingdom,"United Kingdom, The",1816-01-01,2020-12-31
89,UPC,United Provinces of Central America,Central American Federation,1823-07-01,1839-12-31
2,USA,United States of America,,1816-01-01,2020-12-31
165,URU,Uruguay,Uruguay,1830-05-26,2020-12-31
704,UZB,Uzbekistan,Uzbekistan,1991-08-31,2020-12-31
935,VAN,Vanuatu,Vanuatu,1980-06-30,2020-12-31
101,VEN,Venezuela,Venezuela,1829-01-01,2020-12-31
815,VNM,Vietnam (Annam/Cochin China/Tonkin),,1816-01-01,1893-01-01
816,DRV,"Vietnam, Democratic Republic of",,1954-05-01,1975-04-30
816,DRV,"Vietnam, Democratic Republic of",Vietnam,1975-05-01,2020-12-31
817,RVN,"Vietnam, Republic of",Vietnam,1954-05-01,1975-04-30
271,WRT,Württemberg,Württemberg,1816-01-01,1871-01-17
678,YEM,Yemen (Arab Republic of Yemen),North Yemen,1918-10-30,2020-12-31
680,YPR,"Yemen, People's Republic of",South Yemen,1967-11-30,1990-05-21
345,YUG,Yugoslavia,Kingdom of Serbia/Yugoslavia,1918-12-01,1992-05-20
345,YUG,Yugoslavia,Serbia,1992-05-21,2006-06-04
551,ZAM,Zambia,Zambia,1964-10-24,2020-12-31
511,ZAN,Zanzibar,Zanzibar,1963-12-19,1964-04-26
552,ZIM,Zimbabwe (Rhodesia),Zimbabwe,1965-11-11,2020-12-31
