country_abbrev_cow,country_code_cow,country_name_cow,country_name_usdos,date_start,date_end,us_mission_status
GRN,55,Grenada,Grenada,1975-02-25,1984-02-01,Ambassador Nonresident
GRN,55,Grenada,Grenada,1984-02-02,2024-12-31,Embassy
GUA,90,Guatemala,Guatemala,1868-01-01,1921-12-05,Legation
GUA,90,Guatemala,Guatemala,1921-12-06,1922-07-30,None
GUA,90,Guatemala,Guatemala,1922-07-31,1943-05-18,Legation
GUA,90,Guatemala,Guatemala,1943-05-19,2024-12-31,Embassy
GUI,438,Guinea,Guinea,1958-10-02,1959-02-12,None
GUI,438,Guinea,Guinea,1959-02-13,2024-12-31,Embassy
GUY,110,Guyana,Guyana,1966-05-26,2024-12-31,Embassy
HAI,41,Haiti,Haiti,1859-01-01,1862-09-30,None
HAI,41,Haiti,Haiti,1862-10-01,1915-07-28,Legation
HAI,41,Haiti,Haiti,1934-08-15,1943-03-22,Legation
HAI,41,Haiti,Haiti,1943-03-23,1963-05-14,Embassy
HAI,41,Haiti,Haiti,1963-05-15,1964-01-15,None
HAI,41,Haiti,Haiti,1964-01-16,2024-12-31,Embassy
HAN,240,Hanover,,1837-06-20,1866-07-26,None
HON,91,Honduras,Honduras,1899-01-01,1943-03-22,Legation
HON,91,Honduras,Honduras,1943-03-23,2024-12-31,Embassy
HSE,273,Hesse Electoral,,1816-01-01,1866-07-26,None
HSG,275,Hesse Grand Ducal,Hesse,1816-01-01,1829-05-13,None
HSG,275,Hesse Grand Ducal,Hesse,1829-05-14,1867-04-17,Consulate
HUN,310,Hungary,Hungary,1918-11-16,1921-12-25,None
HUN,310,Hungary,Hungary,1921-12-26,1941-12-10,Legation
HUN,310,Hungary,Hungary,1941-12-11,1945-05-10,None
HUN,310,Hungary,Hungary,1945-05-11,1946-01-25,Liaison
HUN,310,Hungary,Hungary,1946-01-26,1966-11-27,Legation
HUN,310,Hungary,Hungary,1966-11-28,2024-12-31,Embassy
ICE,395,Iceland,Iceland,1944-06-17,1955-11-02,Legation
ICE,395,Iceland,Iceland,1955-11-03,2024-12-31,Embassy
IND,750,India,India,1947-08-15,2024-12-31,Embassy
INS,850,Indonesia,Indonesia,1949-12-27,1949-12-27,Consulate
INS,850,Indonesia,Indonesia,1949-12-28,2024-12-31,Embassy
IRE,205,Ireland,Ireland,1922-12-06,1927-07-26,None
IRE,205,Ireland,Ireland,1927-07-27,1950-04-17,Legation
IRE,205,Ireland,Ireland,1950-04-18,2024-12-31,Embassy
IRN,630,Iran,Iran,1855-01-01,1883-06-10,None
IRN,630,Iran,Iran,1883-06-11,1944-08-20,Legation
IRN,630,Iran,Iran,1944-08-21,1980-04-06,Embassy
IRN,630,Iran,Iran,1980-04-07,1980-05-20,None
IRN,630,Iran,Iran,1980-05-21,2024-12-31,Interests
IRQ,645,Iraq,Iraq,1932-10-03,1946-12-27,Legation
IRQ,645,Iraq,Iraq,1946-12-28,1967-06-06,Embassy
IRQ,645,Iraq,Iraq,1967-06-07,1972-09-30,None
IRQ,645,Iraq,Iraq,1972-10-01,1984-11-25,Interests
IRQ,645,Iraq,Iraq,1984-11-26,1991-01-11,Embassy
IRQ,645,Iraq,Iraq,1991-01-12,1991-02-08,None
IRQ,645,Iraq,Iraq,1991-02-09,2004-06-27,Interests
IRQ,645,Iraq,Iraq,2004-06-28,2024-12-31,Embassy
ISR,666,Israel,Israel,1948-05-14,1949-03-27,None
ISR,666,Israel,Israel,1949-03-28,2024-12-31,Embassy
ITA,325,Italy,Italy,1816-01-01,1840-09-14,None
ITA,325,Italy,Italy,1840-09-15,1893-10-22,Legation
ITA,325,Italy,Italy,1893-10-23,1941-12-10,Embassy
ITA,325,Italy,Italy,1941-12-11,1945-01-07,None
ITA,325,Italy,Italy,1945-01-08,2024-12-31,Embassy
JAM,51,Jamaica,Jamaica,1962-08-06,1962-08-15,None
JAM,51,Jamaica,Jamaica,1962-08-16,2024-12-31,Embassy
JOR,663,Jordan,Jordan,1946-03-22,1949-02-17,None
JOR,663,Jordan,Jordan,1949-02-18,1952-09-22,Legation
JOR,663,Jordan,Jordan,1952-09-23,2024-12-31,Embassy
JPN,740,Japan,Japan,1860-01-01,1906-05-25,Legation
JPN,740,Japan,Japan,1906-05-26,1941-12-07,Embassy
JPN,740,Japan,Japan,1941-12-08,1945-08-14,None
JPN,740,Japan,Japan,1952-04-28,1952-05-08,None
JPN,740,Japan,Japan,1952-05-09,2024-12-31,Embassy
KEN,501,Kenya,Kenya,1963-12-12,1964-03-01,None
KEN,501,Kenya,Kenya,1964-03-02,2024-12-31,Embassy
KIR,946,Kiribati,Kiribati,1999-09-14,2024-12-31,Ambassador Nonresident
KOR,730,Korea,Korea,1887-01-01,1905-11-17,Legation
KOS,347,Kosovo,Kosovo,2008-02-20,2008-04-07,None
KOS,347,Kosovo,Kosovo,2008-04-08,2024-12-31,Embassy
KUW,690,Kuwait,Kuwait,1961-06-19,1961-09-21,Consulate
KUW,690,Kuwait,Kuwait,1961-09-22,1990-12-12,Embassy
KUW,690,Kuwait,Kuwait,1990-12-13,1991-02-28,None
KUW,690,Kuwait,Kuwait,1991-03-01,2024-12-31,Embassy
KYR,703,Kyrgyzstan,Kyrgyzstan,1991-12-26,1992-01-31,None
